RAUMID,LORNAME,EINWOHNER,AUSLAENDER,ANTEIL
1011101,Stuelerstr.,3300,1177,36
1011102,Grosser Tiergarten,189,32,17
1011103,Luetzowstr.,4723,1436,30
1011104,Koernerstr.,3779,1508,40
1011105,Noerdl. Landwehrkanal,837,295,35
1011201,Wilhelmstr.,2213,637,29
1011202,Unter den Linden Nord,433,93,21
1011203,Unter den Linden Sued,982,412,42
1011204,Leipziger Str.,5593,1212,22
1011301,Chariteeviertel,4473,884,20
1011302,Oranienburger Str.,11728,2079,18
1011303,Alexanderplatzviertel,7993,1396,17
1011304,Karl-Marx-Allee,8188,1080,13
1011305,Heine-Viertel West,6165,871,14
1011306,Heine-Viertel Ost,7356,1223,17
1011401,Invalidenstr.,12891,2320,18
1011402,Arkonaplatz,10855,1708,16
1022101,Huttenkiez,2899,932,32
1022102,Beusselkiez,5548,2188,39
1022103,Westhafen,172,58,34
1022104,Emdener Str.,16487,4717,29
1022105,Zwinglistr.,4535,1585,35
1022106,Elberfelder Str.,10843,1901,18
1022201,Stephankiez,9770,3017,31
1022202,Heidestr.,1412,519,37
1022203,Lbecker Str.,6212,2119,34
1022204,Thomasiusstr.,5642,1141,20
1022205,Zillesiedlung,3009,825,27
1022206,Lneburger Str.,2962,584,20
1022207,Hansaviertel,6001,1827,30
1033101,Soldiner Str.,22163,7951,36
1033102,Gesundbrunnen,10473,4002,38
1033201,Brunnenstr.,12380,3979,32
1033202,Humboldthain Sued,9202,2495,27
1033203,Humboldthain NW,12567,4678,37
1044101,Rehberge,17837,4110,23
1044102,Schillerpark,14466,2420,17
1044103,Westl. Muellerstr.,7300,2443,33
1044201,Reinickendorfer Str.,20165,8931,44
1044202,Sparrplatz,14842,6052,41
1044203,Leopoldplatz,14432,5712,40
2010101,Askanischer Platz,6404,2474,39
2010102,Mehringplatz,12767,4087,32
2010103,Moritzplatz,14508,4793,33
2010104,Wassertorplatz,4938,1781,36
2020201,Gleisdreieck,295,80,27
2020202,Rathaus Yorckstrasse,5558,1479,27
2020203,Viktoriapark,9768,2141,22
2020204,Urbanstrasse,11990,2988,25
2020205,Chamissokiez,14747,3618,25
2020206,Graefekiez,18126,5306,29
2030301,Oranienplatz,9286,4027,43
2030302,Lausitzer Platz,13055,4559,35
2030401,Reichenberger Strasse,14885,4488,30
2030402,Wrangelkiez,11352,3931,35
2040501,Barnimkiez,5526,533,10
2040502,Friedenstrasse,6388,555,9
2040503,Richard-Sorge-Viertel,9309,909,10
2040701,Andreasviertel,11580,2119,18
2040702,Weberwiese,9890,1003,10
2040703,Wriezener Bahnhof,530,109,21
2050601,Hausburgviertel,8090,1009,12
2050602,Samariterviertel,17796,2180,12
2050801,Traveplatz,17077,2478,15
2050802,Boxhagener Platz,18168,2394,13
2050803,Stralauer Kiez,6056,770,13
2050804,Stralauer Halbinsel,2352,141,6
3010101,Bucher Forst,2781,106,4
3010102,Buch,10246,351,3
3010104,Lietzengraben,188,12,6
3020203,Blankenfelde,1920,17,1
3020209,Niederschoenhausen,12426,634,5
3020210,Herthaplatz,9473,272,3
3020307,Buchholz,15993,447,3
3030405,Karow-Nord,9771,228,2
3030406,Alt-Karow,8237,159,2
3030711,Blankenburg,6576,76,1
3030715,Heinersdorf,6534,130,2
3030716,Maerchenland,1171,15,1
3040508,Rosenthal,4197,169,4
3040512,Wilhelmsruh,9146,311,3
3040513,Schoenholz,2999,123,4
3040614,Pankow-Zentrum,31062,1360,4
3040818,Pankow-Sued,31268,1522,5
3050919,Gustav-Adolf-Strasse,4404,90,2
3050920,Weisser See,5760,208,4
3050923,Weissenseer Spitze,7584,458,6
3050924,Behaimstrasse,4984,375,8
3050925,Komponistenviertel Weissensee,7710,417,5
3051017,Rennbahnstrasse,3876,219,6
3051021,Buschallee,6194,278,4
3051022,Hansastrasse,4447,84,2
3061126,Arnimplatz,13785,1702,12
3061131,Falkplatz,9734,1591,16
3061227,Humannplatz,13536,1519,11
3061228,Erich-Weinert-Strasse,11932,872,7
3061332,Helmholtzplatz,20791,3206,15
3061429,Greifswalder Strasse,10167,339,3
3061430,Volkspark Prenzlauer Berg,2823,160,6
3061434,Anton-Saefkow-Park,5042,488,10
3061435,Conrad-Blenkle-Strasse,3893,428,11
3061441,Eldenaer Strasse,469,18,4
3071536,Teutoburger Platz,9747,1834,19
3071537,Kollwitzplatz,13996,2363,17
3071633,Thaelmannpark,2593,155,6
3071638,Winsstrasse,15400,2265,15
3071639,Boetzowstrasse,11696,1564,13
4010101,Jungfernheide,9508,1369,14
4010102,Ploetzensee,737,84,11
4010103,Paul-Hertz-Siedlung,7038,1124,16
4020204,Olympiagelaende,132,16,12
4020205,Siedlung Ruhleben,1260,123,10
4020206,Angerburger Allee,2507,206,8
4020207,Flatowallee,2426,264,11
4020208,Kranzallee,2742,297,11
4020209,Eichkamp,3120,793,25
4020310,Park Ruhwald,706,232,33
4020311,Reichsstrasse,13656,1600,12
4020312,Branitzer Platz,4754,613,13
4020313,Koenigin-Elisabeth-Strasse,6405,941,15
4020314,Messegelände,10,10,100
4030415,Schlossgarten,2448,871,36
4030416,Klausenerplatz,9807,2651,27
4030417,Schlossstrasse,9986,1854,19
4030518,Tegeler Weg,8923,1898,21
4030519,Kaiserin-Augusta-Allee,4909,1091,22
4030620,Alt-Lietzow,8306,1767,21
4030621,Spreestadt,2703,811,30
4030622,Richard-Wagner-Strasse,9739,2364,24
4030623,Ernst-Reuter-Platz,4262,1356,32
4030724,Lietzensee,6305,1128,18
4030725,Amtsgerichtsplatz,11212,2393,21
4030726,Droysenstrasse,5178,1233,24
4030827,Karl-August-Platz,10739,3233,30
4030828,Savignyplatz,9193,2247,24
4030929,Hindemithplatz,5958,1313,22
4030930,George-Grosz-Platz,5345,1265,24
4030931,Breitscheidplatz,3362,982,29
4031032,Halensee,13865,2576,19
4041133,Gueterbahnhof Grunewald,54,3,6
4041134,Bismarckallee,4738,906,19
4041135,Hundekehle,2700,438,16
4041136,Hagenplatz,2867,408,14
4041137,Flinsberger Platz,7607,1022,13
4041238,Kissinger Strasse,5130,592,12
4041239,Stadion Wilmersdorf,129,36,28
4041240,Messelpark,1568,182,12
4041241,Breite Strasse,6289,542,9
4041342,Schlangenbader Strasse,4029,595,15
4041343,Binger Strasse,3477,423,12
4041344,Ruedesheimer Platz,10476,1460,14
4051445,Eisenzahnstrasse,5581,990,18
4051446,Preussenpark,9774,1829,19
4051447,Ludwigkirchplatz,4881,1060,22
4051448,Schaperstrasse,8594,1802,21
4051549,Rathaus Wilmersdorf,3941,750,19
4051550,Leon-Jessel-Platz,5137,966,19
4051551,Brabanter Platz,4087,718,18
4051652,Nikolsburger Platz,9206,1634,18
4051653,Prager Platz,6287,1104,18
4051654,Wilhelmsaue,2858,473,17
4051655,Babelsberger Strasse,6250,1199,19
4051656,Hildegardstrasse,7095,929,13
4061757,Forst Grunewald,72,3,4
5010101,Hakenfelde Nord,9487,984,10
5010102,Goltzstrasse,5639,329,6
5010103,Amorbacher Weg,7343,351,5
5010204,Griesingerstr.,2921,259,9
5010205,An der Traenke,1915,150,8
5010206,Guetersloher Weg,9479,718,8
5010207,Darbystr.,10672,1350,13
